Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links,Cluster,Recommendation
119,PANDABOI,,33000000.0,India,2500000.0,66600.0,183.0,http://youtube.com/channel/UC0Wju2yvRlfwqraLlz5152Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
120,erosentertainment,Películas,33000000.0,India,7100.0,93.0,5.0,http://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw,1,Recommend channels from Cluster 1 to users interested in this type of content.
121,gmanetwork,,32900000.0,Filipinas,2600.0,83.0,1.0,http://youtube.com/channel/UCKL5hAuzgFQsyrsQKgU0Qng,1,Recommend channels from Cluster 1 to users interested in this type of content.
122,LucasandMarcus,"Animación, Humor",32800000.0,Estados Unidos,706100.0,23300.0,504.0,http://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA,1,Recommend channels from Cluster 1 to users interested in this type of content.
123,AboFlah,"Animación, Videojuegos",32700000.000000004,Iraq,3300000.0,382000.0,11400.0,http://youtube.com/channel/UCqq5n-Oe-r1EEHI3yvhVJcA,1,Recommend channels from Cluster 1 to users interested in this type of content.
124,MRINDIANHACKER,,32600000.0,India,6500000.0,617400.0,26000.0,http://youtube.com/channel/UCSiDGb0MnHFGjs4E2WKvShw,1,Recommend channels from Cluster 1 to users interested in this type of content.
125,FrostDiamond,"Películas, Animación",32600000.0,Indonesia,316200.0,13200.0,386.0,http://youtube.com/channel/UC4hGmH5sABOA70D4fGb8qNQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
126,MrBean,"Películas, Humor",32400000.0,India,204400.0,1800.0,73.0,http://youtube.com/channel/UCkAGrHCLFmlK3H2kd6isipg,1,Recommend channels from Cluster 1 to users interested in this type of content.
127,WorldwideRecordsBhojpuri,Música y baile,32200000.000000004,India,44200.0,1600.0,29.0,http://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A,1,Recommend channels from Cluster 1 to users interested in this type of content.
128,rezendeevil,Películas,32200000.000000004,Brasil,413400.0,15600.0,153.0,http://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,1,Recommend channels from Cluster 1 to users interested in this type of content.
129,SMTOWN,Música y baile,32200000.000000004,Estados Unidos,132300.0,12700.0,505.0,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g,1,Recommend channels from Cluster 1 to users interested in this type of content.
130,PeppaPigOfficial,Juguetes,32200000.000000004,Unknown,110200.0,508.0,0.0,http://youtube.com/channel/UCAOtE1V7Ots4DjM8JLlrYgg,1,Recommend channels from Cluster 1 to users interested in this type of content.
131,zeenews,Noticias y Política,32100000.0,India,14700.0,231.0,6.0,http://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
132,fedevigevani,"Animación, Humor",32000000.0,México,7700000.0,412200.0,17000.0,http://youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA,1,Recommend channels from Cluster 1 to users interested in this type of content.
133,dream,"Animación, Videojuegos",31900000.0,Estados Unidos,3300000.0,309200.0,19000.0,http://youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w,1,Recommend channels from Cluster 1 to users interested in this type of content.
134,GENIALBrightSideSpanish,Animación,31800000.0,México,15500.0,524.0,21.0,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA,1,Recommend channels from Cluster 1 to users interested in this type of content.
